ID,Var1,WorkStatus,Score,Divorce,Widowed,Education,Residence_Region,babies,preteen,teens,income,Engagement_Religion,Var2,TVhours,Gender,Unemployed10,Happy
10000172,A,keeping house,52,NA,no,12,south atlantic,0,0,0,$1000 to 2999,once a year,1,NA,1,1,Not Happy
10000174,A,working fulltime,42,NA,NA,15,middle atlantic,0,0,0,$25000 or more,every week,2,2,0,0,Pretty Happy
10000175,A,retired,50,no,NA,12,south atlantic,0,0,0,NA,2-3x a month,1,3,0,NA,Not Happy
10000177,A,working fulltime,51,NA,NA,13,middle atlantic,0,0,0,$25000 or more,2-3x a month,2,6,1,0,Pretty Happy
10000178,A,working fulltime,31,no,no,16,middle atlantic,0,0,2,$25000 or more,once a year,1,NA,0,0,Very Happy
10000179,A,working fulltime,30,yes,no,13,foreign,0,0,1,$25000 or more,every week,2,2,0,1,Very Happy
10000182,A,working fulltime,22,no,no,9,foreign,0,0,1,$25000 or more,never,1,5,0,NA,Pretty Happy
10000183,A,working fulltime,17,NA,no,12,foreign,0,0,0,NA,nrly every week,1,1,0,NA,Pretty Happy
10000184,A,keeping house,NA,NA,NA,16,south atlantic,1,0,3,NA,never,1,NA,1,NA,Pretty Happy
10000185,A,working fulltime,41,yes,no,12,south atlantic,0,0,0,NA,once a year,1,3,1,NA,Pretty Happy
10000186,A,retired,40,no,no,11,south atlantic,0,0,0,$25000 or more,more thn once wk,1,NA,0,0,Pretty Happy
10000188,A,working fulltime,40,yes,no,12,middle atlantic,0,0,0,$25000 or more,lt once a year,1,2,0,NA,Pretty Happy
10000189,A,working fulltime,42,NA,no,12,foreign,0,0,0,NA,every week,2,2,1,0,Very Happy
10000192,A,other,37,yes,no,10,middle atlantic,2,1,0,$15000 - 19999,once a month,2,5,0,0,Pretty Happy
10000194,A,keeping house,31,no,no,12,middle atlantic,0,2,0,$8000 to 9999,once a month,1,NA,1,NA,Pretty Happy
10000197,A,working parttime,36,no,NA,12,middle atlantic,0,0,2,$8000 to 9999,never,2,4,1,0,Pretty Happy
10000198,A,working parttime,17,NA,no,12,middle atlantic,0,2,2,$5000 to 5999,2-3x a month,1,NA,1,0,Pretty Happy
10000200,A,working fulltime,61,yes,no,16,w. nor. central,1,0,0,$25000 or more,every week,3,1,0,NA,Very Happy
10000204,A,working parttime,23,NA,no,16,new england,0,0,0,$8000 to 9999,every week,1,1,1,NA,Pretty Happy
10000208,A,temp not working,66,NA,no,12,w. sou. central,0,0,0,NA,every week,1,NA,1,1,Pretty Happy
10000211,A,working parttime,23,yes,no,7,foreign,1,0,0,$25000 or more,once a month,2,2,1,0,Very Happy
10000213,A,keeping house,46,no,no,12,middle atlantic,1,1,0,$25000 or more,once a year,1,NA,1,1,Very Happy
10000217,A,working fulltime,64,yes,no,20,middle atlantic,0,0,0,$25000 or more,lt once a year,2,1,1,0,Pretty Happy
10000220,A,working fulltime,51,NA,NA,12,middle atlantic,0,1,0,$25000 or more,nrly every week,2,4,1,0,Pretty Happy
10000222,A,keeping house,47,NA,no,12,south atlantic,0,0,1,$15000 - 19999,nrly every week,1,NA,1,1,Pretty Happy
10000226,A,working fulltime,65,yes,no,12,middle atlantic,0,1,0,$25000 or more,more thn once wk,1,3,1,NA,Very Happy
10000227,A,working fulltime,44,NA,NA,15,middle atlantic,0,0,1,$25000 or more,sevrl times a yr,1,NA,1,1,Not Happy
10000228,A,keeping house,NA,no,no,11,middle atlantic,0,0,0,NA,every week,2,2,1,0,Not Happy
10000231,A,temp not working,32,no,no,12,middle atlantic,0,0,0,$20000 - 24999,once a year,1,6,1,NA,Pretty Happy
10000232,A,school,66,no,no,16,middle atlantic,0,0,0,$25000 or more,lt once a year,2,6,1,0,Pretty Happy
10000234,A,retired,74,no,NA,20,middle atlantic,0,0,0,NA,never,1,1,0,NA,Pretty Happy
10000235,A,working fulltime,49,NA,NA,10,middle atlantic,0,0,0,$25000 or more,never,1,NA,0,1,Very Happy
10000236,A,working fulltime,51,no,no,16,middle atlantic,0,0,0,$25000 or more,never,2,3,0,1,Pretty Happy
10000238,A,working fulltime,22,yes,no,8,middle atlantic,0,0,0,$15000 - 19999,lt once a year,1,NA,0,0,Very Happy
10000239,A,working fulltime,27,no,NA,8,middle atlantic,0,0,0,$20000 - 24999,lt once a year,3,8,0,NA,Very Happy
10000241,A,keeping house,NA,no,no,12,middle atlantic,0,2,0,$20000 - 24999,every week,1,NA,1,NA,Not Happy
10000242,A,working fulltime,40,yes,no,10,middle atlantic,0,0,0,$25000 or more,never,1,2,0,NA,Pretty Happy
10000243,A,working fulltime,46,no,no,12,middle atlantic,0,0,0,$25000 or more,once a year,3,3,0,NA,Very Happy
10000245,A,working fulltime,64,yes,no,20,foreign,0,1,0,$25000 or more,never,2,1,0,0,Not Happy
10000247,A,working fulltime,44,no,no,14,middle atlantic,0,1,0,$25000 or more,sevrl times a yr,1,NA,0,0,Pretty Happy
10000249,A,working fulltime,44,no,no,13,middle atlantic,1,1,1,$25000 or more,never,2,2,0,0,Very Happy
10000252,A,working fulltime,41,no,no,13,middle atlantic,0,0,2,$25000 or more,more thn once wk,1,NA,1,1,Pretty Happy
10000255,A,working fulltime,30,NA,no,12,foreign,0,0,1,$25000 or more,sevrl times a yr,1,NA,0,1,Pretty Happy
10000256,A,working parttime,42,NA,no,9,middle atlantic,0,0,0,$8000 to 9999,nrly every week,1,NA,1,1,Not Happy
10000261,A,working fulltime,75,no,no,16,middle atlantic,0,0,0,$25000 or more,sevrl times a yr,1,NA,0,0,Very Happy
10000264,A,temp not working,40,no,NA,12,middle atlantic,0,0,0,$25000 or more,never,2,1,1,0,Pretty Happy
10000266,A,working fulltime,38,no,no,12,middle atlantic,1,0,0,$25000 or more,2-3x a month,3,NA,0,0,Pretty Happy
10000268,A,retired,60,NA,no,12,middle atlantic,1,1,0,$25000 or more,2-3x a month,1,NA,1,0,Not Happy
10000269,A,working fulltime,64,no,yes,20,middle atlantic,0,0,0,$25000 or more,2-3x a month,3,3,1,NA,Pretty Happy
10000270,A,"unempl, laid off",31,no,NA,12,e. sou. central,0,0,0,NA,never,1,6,0,NA,Not Happy
10000273,A,working parttime,53,no,no,16,middle atlantic,1,1,0,$25000 or more,sevrl times a yr,1,NA,1,0,Pretty Happy
10000280,A,working fulltime,42,yes,NA,12,new england,0,0,1,$25000 or more,sevrl times a yr,2,2,0,0,Very Happy
10000282,A,working parttime,46,no,no,16,middle atlantic,0,1,1,$25000 or more,sevrl times a yr,2,2,1,0,Very Happy
10000283,A,other,35,NA,NA,16,middle atlantic,0,0,0,NA,sevrl times a yr,1,NA,0,0,Pretty Happy
10000284,A,working fulltime,66,no,no,17,foreign,1,1,0,$25000 or more,every week,1,NA,0,0,Pretty Happy
10000286,NA,working fulltime,86,NA,NA,20,foreign,0,0,0,$25000 or more,every week,1,NA,0,0,Pretty Happy
10000287,A,working fulltime,44,yes,no,13,south atlantic,0,0,0,$25000 or more,sevrl times a yr,3,1,0,NA,Pretty Happy
10000290,A,retired,42,no,no,8,middle atlantic,0,0,0,NA,every week,1,3,0,NA,Pretty Happy
10000291,A,working parttime,22,NA,NA,NA,middle atlantic,0,0,0,$10000 - 14999,lt once a year,1,1,0,NA,Pretty Happy
10000292,A,retired,36,yes,NA,8,middle atlantic,0,0,0,NA,every week,2,2,1,0,Pretty Happy
10000293,A,keeping house,23,no,no,13,middle atlantic,1,1,0,$25000 or more,sevrl times a yr,3,1,1,NA,Very Happy
10000295,A,working fulltime,32,no,no,12,middle atlantic,1,0,0,NA,sevrl times a yr,1,NA,0,0,Very Happy
10000297,A,working fulltime,51,NA,NA,16,middle atlantic,0,0,0,$25000 or more,more thn once wk,1,1,1,NA,Pretty Happy
10000299,A,working fulltime,36,NA,no,9,middle atlantic,0,0,0,$25000 or more,sevrl times a yr,1,NA,1,0,Not Happy
10000300,A,working fulltime,51,no,NA,12,middle atlantic,0,0,0,$25000 or more,every week,2,4,1,0,Pretty Happy
10000301,A,working fulltime,51,NA,no,17,foreign,0,0,0,$25000 or more,never,1,NA,0,0,Pretty Happy
10000303,A,working fulltime,75,no,no,19,middle atlantic,0,2,0,NA,every week,1,1,0,NA,Pretty Happy
10000304,A,retired,66,no,NA,17,middle atlantic,0,0,1,$25000 or more,every week,2,2,1,0,Pretty Happy
10000305,A,working fulltime,61,no,no,17,foreign,1,0,0,$25000 or more,sevrl times a yr,1,1,1,NA,Pretty Happy
10000306,A,working fulltime,49,no,no,16,middle atlantic,0,0,0,$25000 or more,once a month,1,1,1,NA,Very Happy
10000307,A,retired,47,no,NA,14,foreign,0,0,0,$15000 - 19999,every week,1,1,1,NA,Pretty Happy
10000308,A,retired,51,yes,no,12,pacific,0,0,0,$25000 or more,once a year,2,4,0,NA,Very Happy
10000309,A,temp not working,64,yes,no,18,foreign,1,0,0,$25000 or more,lt once a year,1,1,0,NA,Very Happy
10000310,A,working fulltime,51,no,no,16,middle atlantic,0,0,0,$25000 or more,once a year,2,3,0,0,Very Happy
10000313,A,keeping house,NA,no,no,11,pacific,0,0,0,$25000 or more,more thn once wk,1,NA,1,0,Very Happy
10000314,A,working fulltime,49,no,no,13,pacific,0,0,0,$25000 or more,once a year,2,1,1,0,Pretty Happy
10000315,A,working fulltime,61,no,no,16,foreign,0,0,0,$25000 or more,once a year,1,1,0,NA,Pretty Happy
10000316,A,working fulltime,71,NA,no,16,pacific,0,0,0,$25000 or more,once a month,3,1,1,NA,Pretty Happy
10000318,A,working fulltime,47,NA,no,14,mountain,1,0,0,$25000 or more,lt once a year,1,4,0,NA,Pretty Happy
10000322,A,working fulltime,49,no,no,14,pacific,0,1,1,$25000 or more,once a month,1,1,1,NA,Pretty Happy
10000323,A,working parttime,25,no,no,13,pacific,1,0,0,$25000 or more,once a year,2,4,1,0,Very Happy
10000324,A,working fulltime,45,no,no,12,pacific,0,1,1,$25000 or more,NA,2,2,0,0,Pretty Happy
10000326,A,working fulltime,51,no,NA,16,pacific,0,0,0,$25000 or more,lt once a year,3,2,0,NA,Pretty Happy
10000327,A,working fulltime,34,NA,NA,13,middle atlantic,0,0,0,$25000 or more,never,2,3,0,1,Not Happy
10000328,A,working fulltime,50,NA,no,16,pacific,0,0,0,$25000 or more,every week,3,1,1,NA,Very Happy
10000330,A,working fulltime,66,NA,no,16,pacific,0,1,0,NA,every week,3,1,1,NA,Very Happy
10000332,A,working parttime,29,NA,NA,13,pacific,0,0,1,$25000 or more,every week,1,0,1,NA,Pretty Happy
10000334,A,working parttime,27,NA,NA,14,pacific,0,0,2,$25000 or more,sevrl times a yr,1,NA,0,1,Not Happy
10000335,A,working fulltime,39,yes,no,12,pacific,0,0,0,$25000 or more,once a year,2,3,0,1,Very Happy
10000336,A,retired,49,no,NA,16,middle atlantic,0,0,0,$20000 - 24999,sevrl times a yr,1,NA,0,0,Not Happy
10000337,A,working fulltime,22,yes,NA,12,middle atlantic,0,0,0,$20000 - 24999,once a year,2,8,1,0,Pretty Happy
10000341,A,working fulltime,49,no,no,14,pacific,0,0,0,$25000 or more,once a year,2,3,1,0,Very Happy
10000342,A,working fulltime,51,no,no,19,foreign,2,1,0,$25000 or more,2-3x a month,1,2,0,NA,Pretty Happy
10000343,A,working parttime,52,no,no,13,pacific,0,0,0,$25000 or more,every week,2,4,1,0,Not Happy
10000344,A,working fulltime,66,no,no,16,pacific,0,0,0,$25000 or more,never,2,1,1,0,Pretty Happy
10000346,A,"unempl, laid off",59,NA,no,16,w. nor. central,0,0,0,$25000 or more,once a year,1,3,0,NA,Pretty Happy
10000347,A,retired,66,no,NA,12,new england,0,0,0,NA,sevrl times a yr,1,NA,1,0,Pretty Happy
10000348,A,working parttime,51,NA,no,14,pacific,0,0,0,$25000 or more,once a month,3,NA,1,0,Pretty Happy
10000349,A,working fulltime,44,NA,NA,17,pacific,0,0,0,NA,once a year,1,NA,1,0,Pretty Happy
10000350,A,working fulltime,65,NA,NA,12,pacific,1,0,0,$20000 - 24999,never,2,5,1,1,Not Happy
10000351,A,working fulltime,52,no,no,16,foreign,0,0,0,$25000 or more,every week,2,4,1,1,Pretty Happy
10000352,A,working fulltime,21,no,yes,12,foreign,0,0,0,$10000 - 14999,sevrl times a yr,1,NA,1,NA,Very Happy
10000355,A,retired,34,no,no,12,pacific,0,0,0,$25000 or more,never,2,5,0,0,Very Happy
10000356,A,working parttime,45,no,no,16,mountain,0,0,0,$25000 or more,once a year,2,1,0,1,Pretty Happy
10000357,A,working fulltime,52,NA,NA,16,e. nor. central,0,0,0,$25000 or more,never,1,NA,1,0,Very Happy
10000358,A,working fulltime,64,NA,NA,18,foreign,0,0,0,$25000 or more,once a month,1,2,0,NA,Very Happy
10000359,A,working fulltime,36,NA,no,16,foreign,0,0,0,$25000 or more,never,1,NA,1,0,Not Happy
10000360,A,working fulltime,46,NA,NA,13,e. nor. central,0,0,0,$25000 or more,once a year,1,2,1,NA,Pretty Happy
10000361,A,working parttime,34,yes,no,14,pacific,0,1,0,$25000 or more,once a year,3,NA,1,1,Pretty Happy
10000362,A,school,46,NA,NA,15,foreign,0,0,0,$1000 to 2999,every week,1,NA,1,0,Pretty Happy
10000364,A,working fulltime,47,NA,NA,15,pacific,1,0,0,$25000 or more,sevrl times a yr,1,NA,1,1,Pretty Happy
10000366,A,working fulltime,35,no,no,16,foreign,0,1,0,$25000 or more,every week,2,2,1,0,Pretty Happy
10000367,A,keeping house,51,no,no,12,w. nor. central,0,0,0,$25000 or more,every week,2,4,1,0,Pretty Happy
10000369,A,working fulltime,72,no,no,16,foreign,1,1,0,$25000 or more,never,1,NA,0,0,Pretty Happy
10000370,A,keeping house,69,no,no,17,foreign,2,0,0,$25000 or more,never,1,NA,1,0,Pretty Happy
10000372,A,working parttime,47,no,no,15,pacific,1,2,0,NA,more thn once wk,2,2,0,1,Pretty Happy
10000374,A,working fulltime,75,NA,no,19,pacific,0,0,0,$25000 or more,every week,2,1,0,0,Pretty Happy
10000376,A,working fulltime,46,yes,no,14,pacific,0,0,1,$25000 or more,once a year,3,1,1,NA,Pretty Happy
10000378,A,working fulltime,44,no,NA,16,pacific,1,1,0,$25000 or more,every week,1,1,1,NA,Very Happy
10000379,A,retired,33,yes,no,14,pacific,0,0,0,$15000 - 19999,lt once a year,1,NA,0,1,Not Happy
10000380,A,working fulltime,40,no,no,12,pacific,1,0,0,$25000 or more,lt once a year,2,5,1,1,Very Happy
10000382,A,working fulltime,47,no,no,19,foreign,0,0,0,$25000 or more,never,2,2,1,0,Pretty Happy
10000383,NA,keeping house,40,no,no,12,pacific,2,0,0,$25000 or more,sevrl times a yr,2,8,1,1,Very Happy
10000384,A,working parttime,32,NA,NA,14,pacific,0,0,0,$10000 - 14999,once a year,2,1,0,0,Pretty Happy
10000385,A,working fulltime,30,NA,NA,12,pacific,1,1,0,NA,lt once a year,3,NA,1,0,Pretty Happy
10000388,A,working fulltime,37,NA,NA,12,pacific,0,0,0,$10000 - 14999,NA,3,4,0,NA,Not Happy
10000392,A,working fulltime,44,NA,no,12,pacific,0,0,1,$25000 or more,never,1,NA,1,0,Not Happy
10000393,A,temp not working,37,NA,no,12,middle atlantic,0,2,0,$25000 or more,once a year,1,NA,1,1,Not Happy
10000394,A,working fulltime,50,no,no,15,pacific,0,0,0,$25000 or more,never,2,3,0,0,Pretty Happy
10000395,A,working fulltime,40,NA,NA,13,e. nor. central,0,0,0,$20000 - 24999,sevrl times a yr,1,6,1,NA,Not Happy
10000397,A,"unempl, laid off",46,yes,no,14,pacific,0,0,0,$25000 or more,never,1,3,1,NA,Pretty Happy
10000398,A,working fulltime,30,no,NA,11,pacific,1,1,0,$25000 or more,once a year,2,2,0,0,Pretty Happy
10000399,A,working fulltime,57,no,no,13,pacific,1,0,0,$25000 or more,NA,2,2,1,0,Very Happy
10000401,A,working fulltime,31,yes,no,15,w. sou. central,0,0,0,$25000 or more,nrly every week,1,2,1,NA,Not Happy
10000405,A,working parttime,36,NA,NA,10,pacific,0,0,0,$1000 to 2999,never,1,NA,0,1,Not Happy
10000406,A,retired,29,NA,no,11,pacific,0,0,0,$15000 - 19999,lt once a year,1,NA,0,0,Not Happy
10000411,A,working fulltime,36,no,no,NA,foreign,0,1,0,$25000 or more,every week,1,2,0,NA,Very Happy
10000414,A,working parttime,42,no,no,12,pacific,1,0,0,$7000 to 7999,more thn once wk,2,0,1,1,Very Happy
10000415,A,school,44,NA,no,16,pacific,2,1,1,$10000 - 14999,once a year,1,NA,1,0,Very Happy
10000418,A,"unempl, laid off",35,no,no,11,pacific,1,1,2,$10000 - 14999,once a year,2,5,0,1,Very Happy
10000419,A,retired,50,no,no,12,pacific,0,0,0,$25000 or more,sevrl times a yr,1,NA,0,0,Pretty Happy
10000421,A,working fulltime,47,NA,no,14,pacific,0,0,0,$10000 - 14999,2-3x a month,2,2,0,1,Pretty Happy
10000422,A,working parttime,29,NA,NA,10,pacific,0,0,0,$20000 - 24999,once a year,2,5,1,0,Pretty Happy
10000423,A,keeping house,NA,no,no,12,pacific,0,0,0,$25000 or more,sevrl times a yr,1,NA,1,0,Pretty Happy
10000425,A,working fulltime,22,NA,no,NA,pacific,0,0,0,$10000 - 14999,once a year,2,4,1,1,Pretty Happy
10000427,A,working fulltime,53,no,no,14,pacific,2,0,0,$25000 or more,NA,2,4,0,1,Very Happy
10000428,A,retired,43,no,NA,12,w. nor. central,0,0,0,$20000 - 24999,once a year,3,2,0,NA,Pretty Happy
10000429,A,working parttime,86,no,no,20,foreign,0,0,0,$25000 or more,never,1,2,0,NA,Pretty Happy
10000432,A,working fulltime,35,no,no,14,foreign,1,0,0,$25000 or more,once a month,2,0,1,0,Pretty Happy
10000433,A,working fulltime,65,NA,no,18,foreign,0,0,0,$25000 or more,every week,1,NA,0,1,Very Happy
10000436,A,keeping house,20,no,no,12,w. sou. central,2,0,0,$25000 or more,every week,2,5,1,1,Pretty Happy
10000437,A,retired,68,no,NA,15,e. nor. central,0,0,0,$25000 or more,every week,1,3,1,NA,Pretty Happy
10000439,A,working fulltime,32,no,NA,14,e. nor. central,0,0,0,NA,NA,2,NA,0,0,Pretty Happy
10000440,A,working fulltime,42,NA,NA,17,w. nor. central,0,0,0,$25000 or more,2-3x a month,2,3,0,0,Very Happy
10000441,A,working fulltime,32,yes,no,13,e. nor. central,0,0,0,$20000 - 24999,every week,1,NA,1,0,Pretty Happy
10000442,A,retired,46,NA,NA,12,e. nor. central,0,0,0,$25000 or more,every week,1,3,1,NA,Pretty Happy
10000444,A,working fulltime,60,no,NA,12,e. nor. central,0,0,0,$25000 or more,sevrl times a yr,2,2,0,0,Pretty Happy
10000446,A,school,42,no,no,15,foreign,0,0,0,$25000 or more,every week,2,2,1,0,Very Happy
10000448,A,working fulltime,53,yes,no,14,e. nor. central,0,1,0,$25000 or more,sevrl times a yr,1,NA,0,0,Pretty Happy
10000452,A,working fulltime,60,no,no,18,e. nor. central,0,0,0,$25000 or more,every week,3,NA,0,0,Very Happy
10000454,A,working fulltime,42,no,no,11,foreign,1,0,0,NA,every week,1,1,0,NA,Very Happy
10000455,A,working fulltime,30,yes,no,NA,e. nor. central,0,0,0,$25000 or more,never,2,4,0,1,Pretty Happy
10000457,A,"unempl, laid off",29,NA,NA,12,e. sou. central,0,1,2,NA,lt once a year,2,2,1,1,Pretty Happy
10000459,A,keeping house,33,no,NA,12,foreign,0,0,0,NA,every week,1,NA,1,0,Not Happy
10000460,A,school,49,NA,NA,12,mountain,0,0,0,$15000 - 19999,never,1,NA,0,0,Not Happy
10000461,A,"unempl, laid off",29,NA,NA,12,e. nor. central,0,0,0,$20000 - 24999,never,1,12,1,NA,Pretty Happy
10000465,A,keeping house,35,NA,no,11,e. nor. central,1,0,0,$3000 to 3999,once a year,1,NA,1,1,Pretty Happy
10000466,A,working fulltime,36,NA,NA,12,e. nor. central,4,1,0,$25000 or more,sevrl times a yr,1,6,1,NA,Pretty Happy
10000467,A,"unempl, laid off",25,NA,NA,12,e. nor. central,0,1,0,$10000 - 14999,once a year,3,5,0,NA,Pretty Happy
10000470,A,working fulltime,40,NA,no,12,e. nor. central,0,0,0,NA,sevrl times a yr,2,3,0,1,Pretty Happy
10000471,A,other,65,NA,no,14,e. nor. central,0,0,0,$5000 to 5999,never,2,6,1,1,Pretty Happy
10000472,A,working fulltime,30,no,no,14,e. nor. central,0,0,0,$25000 or more,sevrl times a yr,1,4,0,NA,Pretty Happy
10000474,A,other,28,yes,NA,NA,e. nor. central,0,0,0,$5000 to 5999,never,1,14,1,NA,Pretty Happy
10000475,A,"unempl, laid off",30,yes,no,12,e. nor. central,2,0,0,$15000 - 19999,never,2,3,0,1,Pretty Happy
10000476,A,working fulltime,42,NA,no,14,middle atlantic,0,0,0,$25000 or more,lt once a year,1,NA,0,1,Very Happy
10000477,A,working fulltime,60,NA,no,15,e. nor. central,0,2,0,$25000 or more,never,1,NA,1,0,Pretty Happy
10000478,A,working fulltime,51,no,no,20,e. nor. central,1,2,2,$25000 or more,more thn once wk,2,1,0,1,Pretty Happy
10000479,A,school,65,no,no,18,e. nor. central,0,0,0,$25000 or more,lt once a year,2,2,1,0,Pretty Happy
10000480,A,working fulltime,74,no,no,16,e. nor. central,1,0,0,$25000 or more,lt once a year,1,NA,0,1,Pretty Happy
10000481,A,retired,49,no,no,12,w. nor. central,0,0,0,NA,NA,2,NA,0,NA,Not Happy
10000482,A,working parttime,47,no,no,12,e. nor. central,0,0,0,$25000 or more,more thn once wk,1,3,1,NA,Pretty Happy
10000485,A,working fulltime,33,NA,NA,16,e. nor. central,1,0,0,$25000 or more,once a year,1,2,1,NA,Not Happy
10000486,A,working fulltime,52,no,no,16,e. sou. central,0,0,0,$25000 or more,2-3x a month,1,NA,1,0,Pretty Happy
10000487,A,working fulltime,35,no,no,15,e. nor. central,1,0,0,$25000 or more,once a year,2,1,1,0,Pretty Happy
10000489,A,working fulltime,37,NA,NA,16,e. nor. central,0,0,0,$25000 or more,never,2,0,0,0,Pretty Happy
10000490,A,working fulltime,75,NA,NA,19,e. nor. central,0,0,0,$25000 or more,once a month,1,1,1,NA,Very Happy
10000491,A,working parttime,50,no,no,14,e. nor. central,0,0,0,$25000 or more,once a month,2,2,0,1,Pretty Happy
10000492,A,working fulltime,58,NA,NA,16,south atlantic,0,0,0,$25000 or more,once a month,2,5,0,0,Pretty Happy
10000493,A,working fulltime,57,no,no,20,e. nor. central,0,0,0,$25000 or more,every week,1,4,0,NA,Pretty Happy
10000494,A,working fulltime,51,NA,NA,14,e. nor. central,0,0,0,NA,lt once a year,1,1,0,NA,Very Happy
10000495,A,working fulltime,20,no,no,16,foreign,0,2,0,NA,every week,2,1,0,1,Pretty Happy
10000496,A,working fulltime,46,no,no,16,e. nor. central,0,0,0,$25000 or more,every week,1,NA,1,0,Very Happy
10000498,A,working fulltime,34,NA,NA,12,e. nor. central,0,0,0,$20000 - 24999,never,1,15,1,NA,Pretty Happy
10000500,A,working parttime,45,NA,NA,13,e. nor. central,0,0,0,$10000 - 14999,2-3x a month,2,3,0,0,Pretty Happy
10000502,A,working fulltime,45,no,no,18,e. nor. central,1,0,0,$25000 or more,sevrl times a yr,3,NA,0,0,Very Happy
10000503,A,retired,28,no,no,12,e. nor. central,0,0,0,NA,every week,3,4,1,NA,Very Happy
10000504,A,working fulltime,35,yes,no,12,e. nor. central,0,0,4,$25000 or more,2-3x a month,3,2,1,NA,Pretty Happy
10000505,A,keeping house,20,no,no,9,e. nor. central,0,3,0,$15000 - 19999,never,2,3,1,0,Very Happy
10000506,A,working fulltime,40,no,no,16,e. nor. central,0,0,0,$25000 or more,sevrl times a yr,2,0,0,1,Pretty Happy
10000508,A,working fulltime,74,no,no,18,middle atlantic,2,1,0,$25000 or more,every week,1,1,0,NA,Pretty Happy
