ID,Alcohol_Consumption
10002465,2 - 3 times a month
10002466,
10002468,Never
10002469,Occassional
10002470,2 - 3 times a month
10002472,Never
10002474,Rarely
10002476,Once a week
10002477,
10002480,Rarely
10002488,
10002492,Never
10002493,Multiple times in a week
10002497,Occassional
10002508,Rarely
10002509,Once a week
10002522,Rarely
10002524,Once a month
10002526,Rarely
10002531,Never
10002533,2 - 3 times a month
10002535,Never
10002538,Multiple times in a week
10002543,Rarely
10002545,Rarely
10002551,2 - 3 times a month
10002555,Once a month
10002564,Rarely
10002570,Rarely
10002571,Multiple times in a week
10002575,Never
10002579,Once a week
10002585,2 - 3 times a month
10002594,Once a month
10002626,Rarely
10002630,Rarely
10002633,Once a month
10002646,2 - 3 times a month
10002648,Occassional
10002650,Multiple times in a week
10002654,2 - 3 times a month
10002670,Once a week
10002679,Occassional
10002687,Once a week
10002688,
10002704,Once a week
10002711,Occassional
10002712,2 - 3 times a month
10002720,
10002733,2 - 3 times a month
10002734,Never
10002737,Multiple times in a week
10002740,
10002749,Rarely
10002751,Once a week
10002766,Occassional
10002769,Never
10002772,Occassional
10002787,Once a month
10002789,Occassional
10002797,Once a week
10002803,Once a week
10002806,Occassional
10002808,Rarely
10002813,Occassional
10002816,Rarely
10002817,Occassional
10002818,Rarely
10002820,2 - 3 times a month
10002828,2 - 3 times a month
10002831,Once a week
10002833,2 - 3 times a month
10002834,Occassional
10002836,Multiple times in a week
10002839,Never
10002848,Rarely
10002855,Rarely
10002864,Once a week
10002868,Rarely
10002874,Multiple times in a week
10002875,Never
10002882,Never
10002886,Rarely
10002899,Once a week
10002901,Never
10002908,Multiple times in a week
10002935,2 - 3 times a month
10002948,2 - 3 times a month
10002949,Never
10002952,2 - 3 times a month
10002953,Never
10002959,Occassional
10002964,2 - 3 times a month
10002971,Once a week
10002978,2 - 3 times a month
10002982,2 - 3 times a month
10002993,Never
10002996,Once a week
10003012,
10003015,Once a week
10003019,2 - 3 times a month
10003027,Once a week
10003030,Occassional
10003031,
10003034,Occassional
10003048,Once a week
10003055,Once a week
10003056,Never
10003063,Once a week
10003072,Never
10003073,Never
10003099,Rarely
10003104,Occassional
10003105,Occassional
10003114,Never
10003116,Never
10003117,Rarely
10003119,Never
10003124,Once a month
10003127,Occassional
10003136,Never
10003147,2 - 3 times a month
10003149,Occassional
10003156,Never
10003167,Once a week
10003169,Never
10003172,Never
10003174,Once a month
10003176,2 - 3 times a month
10003179,Never
10003187,2 - 3 times a month
10003188,Never
10003198,2 - 3 times a month
10003210,Multiple times in a week
10003218,Multiple times in a week
10003228,2 - 3 times a month
10003233,Rarely
10003234,Once a month
10003235,Rarely
10003238,Occassional
10003250,Rarely
10003253,
10003256,Multiple times in a week
10003259,Once a month
10003263,
10003264,Once a month
10003265,Rarely
10003268,2 - 3 times a month
10003282,Rarely
10003283,Never
10003287,Rarely
10003295,2 - 3 times a month
10003298,Occassional
10003306,Occassional
10003315,Multiple times in a week
10003317,Once a month
10003331,Once a week
10003343,Once a week
10003344,Occassional
10003348,Multiple times in a week
10003350,Once a month
10003354,Once a week
10003370,Never
10003371,
10003378,Once a week
10003380,2 - 3 times a month
10003381,Once a week
10003383,Rarely
10003384,Occassional
10003386,Once a week
10003389,Multiple times in a week
10003395,Rarely
10003398,Once a month
10003403,
10003405,Once a week
10003426,Once a week
10003429,Multiple times in a week
10003432,Rarely
10003447,Rarely
10003448,
10003452,Multiple times in a week
10003457,Once a month
10003480,Once a month
10003484,2 - 3 times a month
10003493,Rarely
10003495,Once a month
10003499,Multiple times in a week
10003504,Never
10003510,Rarely
10003512,Rarely
10003515,Rarely
10003516,2 - 3 times a month
10003520,Never
10003525,Once a week
10003530,Occassional
10003536,Once a week
10003538,Multiple times in a week
10003556,Occassional
10003558,Rarely
10003566,Never
10003567,Occassional
10003568,Rarely
10003573,Rarely
10003581,Occassional
10003585,Occassional
10003587,Rarely
10003590,Multiple times in a week
10003594,
10003596,Once a week
10003598,Multiple times in a week
10003617,Once a week
10003631,Rarely
10003633,Rarely
10003636,Once a week
10003644,Once a month
10003647,Once a month
10003651,Rarely
10003654,Never
10003662,Never
10003663,Rarely
10003681,Rarely
10003686,Never
10003688,Once a month
10003696,Once a week
10003698,2 - 3 times a month
10003705,2 - 3 times a month
10003711,Rarely
10003736,Occassional
10003743,Never
10003747,Multiple times in a week
10003750,Occassional
10003755,Occassional
10003759,Once a week
10003761,Once a month
10003763,Once a month
10003764,Never
10003774,Once a month
10003778,2 - 3 times a month
10003788,Never
10003789,Occassional
10003791,2 - 3 times a month
10003800,
10003803,Once a week
10003806,2 - 3 times a month
10003808,Rarely
10003814,Rarely
10003815,Never
10003818,Never
10003823,Once a week
10003833,Once a week
10003843,Never
10003850,Once a month
10003856,Once a week
10003860,Occassional
10003863,Rarely
10003866,2 - 3 times a month
10003867,Never
10003869,2 - 3 times a month
10003881,2 - 3 times a month
10003884,Rarely
10003891,Multiple times in a week
10003892,Multiple times in a week
10003902,Occassional
10003909,2 - 3 times a month
10003910,2 - 3 times a month
10003915,Once a month
10003916,2 - 3 times a month
10003920,2 - 3 times a month
10003922,2 - 3 times a month
10003925,Rarely
10003929,Once a month
10003931,Occassional
10003939,Once a month
10003958,2 - 3 times a month
10003961,Never
10003968,Multiple times in a week
10003976,Never
10003983,Rarely
10003984,Occassional
10003986,Rarely
10003987,2 - 3 times a month
10003989,Once a week
10004000,2 - 3 times a month
10004002,Rarely
10004008,Once a month
10004009,2 - 3 times a month
10004017,2 - 3 times a month
10004018,Occassional
10004020,Never
10004024,Once a month
10004026,Multiple times in a week
10004031,Never
10004034,Once a week
10004035,2 - 3 times a month
10004039,Rarely
10004045,Rarely
10004052,Occassional
10004053,Once a month
10004058,Once a month
10004063,2 - 3 times a month
10004069,Once a week
10004076,Rarely
10004078,Rarely
10004088,Multiple times in a week
10004092,Rarely
10004095,Never
10004096,Never
10004102,Once a month
10004104,Multiple times in a week
10004110,2 - 3 times a month
10004115,Rarely
10004117,
10004118,2 - 3 times a month
10004120,
10004122,
10004126,Never
10004131,Never
10004135,Occassional
10004136,2 - 3 times a month
10004147,Once a week
10004149,Occassional
10004152,Once a week
10004156,Once a month
10004160,Rarely
10004164,Never
10004166,Once a month
10004171,Occassional
10004179,Occassional
10004189,Rarely
10004195,Occassional
10004197,Occassional
10004199,Once a month
10004204,Never
10004205,Once a month
10004207,Multiple times in a week
10004208,Rarely
10004209,2 - 3 times a month
10004212,Once a month
10004215,2 - 3 times a month
10004230,Once a month
10004236,Occassional
10004241,2 - 3 times a month
10004245,Never
10004249,Rarely
10004255,Once a week
10004264,Never
10004265,Once a week
10004280,Occassional
10004285,Rarely
10004288,Multiple times in a week
10004299,Rarely
10004305,Occassional
10004307,
10004310,Once a week
10004314,Multiple times in a week
10004323,Once a week
10004324,Once a week
10004325,2 - 3 times a month
10004329,Rarely
10004330,Occassional
10004336,2 - 3 times a month
10004337,Rarely
10004345,Never
10004346,Once a month
10004358,Rarely
10004367,Once a month
10004373,2 - 3 times a month
10004376,2 - 3 times a month
10004380,Rarely
10004385,Once a month
10004388,Occassional
10004393,Never
10004394,Once a week
10004402,Never
10004404,Never
10004408,
10004412,Multiple times in a week
10004416,Never
10004422,Occassional
10004428,Once a week
10004430,Occassional
10004431,Once a week
10004444,Never
10004454,Occassional
10004460,Occassional
10004464,2 - 3 times a month
10004474,Once a week
10004476,Multiple times in a week
10004478,Once a month
10004480,Once a month
10004481,Once a month
10004487,2 - 3 times a month
10004490,Once a month
10004501,Never
10004503,Once a month
10004509,Rarely
10004514,2 - 3 times a month
10004516,Once a week
10004523,Once a month
10004524,Rarely
10004527,Rarely
10004535,2 - 3 times a month
10004538,Once a week
10004542,2 - 3 times a month
10004544,Occassional
10004550,Once a week
10004551,Rarely
10004555,Once a month
10004559,Once a month
10004565,Once a month
10004566,Never
10004567,Occassional
10004573,2 - 3 times a month
10004577,Never
10004587,Once a week
10004590,Once a week
10004601,Once a week
10004604,
10004613,Once a month
10004621,Once a month
10004622,Occassional
10004624,Never
10004648,Occassional
10004652,Once a month
10004658,Never
10004664,2 - 3 times a month
10004666,Never
10004675,Occassional
10004676,Occassional
10004678,2 - 3 times a month
10004683,2 - 3 times a month
10004686,Multiple times in a week
10004687,Once a week
10004713,Occassional
10004731,Once a month
10004733,2 - 3 times a month
10004734,Once a month
10004735,Once a month
10004740,Once a week
10004741,Once a month
10004753,Rarely
10004769,Rarely
10004772,Multiple times in a week
10004785,Occassional
10004789,Once a month
10004798,Never
10004817,2 - 3 times a month
10004821,
10004823,Occassional
10004829,Once a month
10004835,Rarely
10004840,Never
10004844,Once a month
10004853,Never
10004856,Once a week
10004861,2 - 3 times a month
10004866,
10004868,Occassional
10004871,Occassional
10004874,Once a week
10004875,Once a week
10004882,
10004883,Never
10004889,Once a month
10004890,Rarely
10004893,Multiple times in a week
10004913,
10004918,2 - 3 times a month
10004922,Occassional
10004924,Once a week
10004938,2 - 3 times a month
10004948,Occassional
10004949,
10004951,2 - 3 times a month
10004959,Multiple times in a week
10004965,Never
10004982,2 - 3 times a month
10004987,Multiple times in a week
10004989,Once a month
10004990,
10004998,Never
10005000,Rarely
10005002,2 - 3 times a month
10005003,Once a week
10005005,2 - 3 times a month
10005014,Rarely
10005019,Occassional
10005020,
10005028,2 - 3 times a month
10005045,Rarely
10005047,Once a week
10005059,
10005063,Rarely
10005069,Rarely
10005073,Multiple times in a week
10005083,Occassional
10005086,Never
10005092,2 - 3 times a month
10005093,2 - 3 times a month
10005097,Rarely
10005099,Rarely
10005104,Once a month
10005106,Never
10005111,Once a month
10005113,Once a month
10005123,2 - 3 times a month
10005124,Once a month
10005134,Once a week
10005136,Once a week
10005138,2 - 3 times a month
10005144,Multiple times in a week
10005148,Once a month
10005153,Occassional
10005156,2 - 3 times a month
10005166,Once a month
10005167,Multiple times in a week
10005168,Once a week
10005175,Never
10005176,2 - 3 times a month
10005183,Never
10005191,Never
10005192,Once a month
10005197,Once a month
10005198,Rarely
10005200,Once a week
10005211,Occassional
10005217,Never
10005220,Occassional
10005222,Occassional
10005225,Once a month
10005227,Once a month
10005233,Once a month
10005238,Never
10005239,2 - 3 times a month
10005240,2 - 3 times a month
10005243,Once a month
10005246,Rarely
10005247,Once a month
10005248,Occassional
10005249,Once a week
10005253,Once a week
10005261,Rarely
10005262,2 - 3 times a month
10005264,
10005267,Rarely
10005280,Once a week
10005282,
10005283,
10005286,Never
10005290,Rarely
10005291,Occassional
10005292,Occassional
10005294,Once a week
10005296,Occassional
10005299,Once a month
10005303,Once a month
10005318,2 - 3 times a month
10005321,Rarely
10005325,2 - 3 times a month
10005327,Never
10005329,Occassional
10005332,Once a month
10005340,Once a month
10005342,Occassional
10005343,Occassional
10005346,Rarely
10005348,Rarely
10005351,Never
10005353,Never
10005356,Once a month
10005364,Never
10005372,Multiple times in a week
10005376,2 - 3 times a month
10005377,Occassional
10005380,Rarely
10005382,Once a week
10005387,2 - 3 times a month
10005390,Rarely
10005391,Rarely
10005394,Occassional
10005400,Occassional
10005401,Occassional
10005409,Occassional
10005411,Rarely
10005420,Never
10005451,
10005453,2 - 3 times a month
10005457,2 - 3 times a month
10005467,Once a week
10005469,Never
10005471,Occassional
10005476,Rarely
10005482,
10005483,2 - 3 times a month
10005490,Once a week
10005492,Once a week
10005501,Occassional
10005507,Once a month
10005511,Occassional
10005512,Once a week
10005519,2 - 3 times a month
10005521,Once a week
10005522,Once a month
10005526,Occassional
10005530,Never
10005539,Occassional
10005540,2 - 3 times a month
10005541,Never
10005550,2 - 3 times a month
10005552,2 - 3 times a month
10005553,Once a month
10005555,Multiple times in a week
10005561,Once a week
10005564,Once a month
10005567,Multiple times in a week
10005574,Once a week
10005575,Multiple times in a week
10005580,Occassional
10005581,Once a month
10005582,Never
10005597,Once a month
10005600,Once a week
10005601,2 - 3 times a month
10005606,2 - 3 times a month
10005609,2 - 3 times a month
10005613,2 - 3 times a month
10005615,Once a month
10005619,Once a month
10005623,2 - 3 times a month
10005630,Once a month
10005632,Occassional
10005639,2 - 3 times a month
10005641,Occassional
10005644,Multiple times in a week
10005645,Once a week
10005651,
10005655,Once a month
10005657,Occassional
10005663,Never
10005665,Occassional
10005680,Once a month
10005684,Never
10005685,Multiple times in a week
10005689,Once a month
10005692,Never
10005701,Once a month
10005708,
10005723,Occassional
10005729,Occassional
10005737,2 - 3 times a month
10005738,Rarely
10005739,Once a week
10005741,Once a month
10005742,Once a month
10005750,Once a week
10005752,Once a month
10005754,Rarely
10005756,Occassional
10005759,2 - 3 times a month
10005761,Once a month
10005762,Once a month
10005763,2 - 3 times a month
10005764,2 - 3 times a month
10005765,Occassional
10005770,Occassional
10005782,Multiple times in a week
10005785,Once a week
10005793,2 - 3 times a month
10005797,Rarely
10005798,Never
10005799,Once a week
10005802,Once a week
10005806,Rarely
10005807,Rarely
10005810,Once a month
10005813,Once a month
10005818,Never
10005820,Never
10005821,Once a month
10005824,Never
10005825,Rarely
10005828,2 - 3 times a month
10005832,Occassional
10005833,2 - 3 times a month
10005844,Once a week
10005847,Never
10005848,Rarely
10005850,2 - 3 times a month
10005855,Once a month
10005859,Multiple times in a week
10005860,Occassional
10005866,2 - 3 times a month
10005867,Never
10005873,Once a week
10005881,2 - 3 times a month
10005890,Once a month
10005893,Never
10005897,Rarely
10005902,Once a week
10005905,2 - 3 times a month
10005919,Rarely
10005920,Never
10005923,Multiple times in a week
10005927,Rarely
10005934,2 - 3 times a month
10005941,Once a month
10005947,Once a month
10005953,2 - 3 times a month
10005964,
10005969,Rarely
10005981,Once a month
10005988,Occassional
10005992,Occassional
10005994,2 - 3 times a month
10006001,
10006009,Multiple times in a week
10006011,Once a week
10006028,Rarely
10006040,Once a week
10006042,Never
10006043,Rarely
10006046,Once a week
10006052,Never
10006053,Once a month
10006055,Multiple times in a week
10006057,Once a week
10006064,Rarely
10006068,
10006073,Rarely
10006078,Once a week
10006092,
10006093,Rarely
10006094,2 - 3 times a month
10006097,Rarely
10006101,Occassional
10006113,Occassional
10006114,Once a month
10006116,Occassional
10006132,Once a week
10006154,Once a week
10006155,Multiple times in a week
10006156,Rarely
10006157,Rarely
10006167,2 - 3 times a month
10006169,Once a month
10006178,Multiple times in a week
10006180,2 - 3 times a month
10006194,Rarely
10006204,Rarely
10006223,2 - 3 times a month
10006225,Occassional
10006226,Occassional
10006233,Occassional
10006234,Rarely
10006236,
10006239,Rarely
10006245,Rarely
10006247,Occassional
10006249,Once a month
10006253,Once a week
10006256,Multiple times in a week
10006257,Once a month
10006276,Once a month
10006280,2 - 3 times a month
10006288,Once a month
10006295,2 - 3 times a month
10006305,
10006307,Occassional
10006308,Never
10006314,Once a month
10006323,Occassional
10006326,Rarely
10006327,Rarely
10006329,Once a week
10006334,Never
10006343,Never
10006350,Rarely
10006351,Rarely
10006355,Rarely
10006397,Never
10006402,Rarely
10006403,Never
10006404,2 - 3 times a month
10006413,
10006422,Occassional
10006425,2 - 3 times a month
10006431,Never
10006432,Once a week
10006440,2 - 3 times a month
10006444,
10006450,Once a month
10006455,
10006459,Occassional
10006460,Never
10006462,Once a week
10006464,Once a week
10006466,
10006468,Multiple times in a week
10006471,2 - 3 times a month
10006474,Never
10006484,Occassional
10006494,Never
10006505,2 - 3 times a month
10006513,Occassional
10006515,Once a week
10006524,Multiple times in a week
10006525,Rarely
10006531,
10006537,Once a month
10006542,2 - 3 times a month
10006543,
10006545,Once a month
10006547,2 - 3 times a month
10006556,Never
10006557,Once a week
10006558,Rarely
10006560,Multiple times in a week
10006568,Once a month
10006573,Occassional
10006577,Once a month
10006585,Once a month
10006586,Once a month
10006595,Rarely
10006597,2 - 3 times a month
10006600,Never
10006601,2 - 3 times a month
10006608,Occassional
10006617,Rarely
10006625,Never
10006628,Once a month
10006630,Occassional
10006640,Never
10006642,Multiple times in a week
10006650,Rarely
10006651,Once a week
10006655,Rarely
10006660,Occassional
10006671,2 - 3 times a month
10006672,2 - 3 times a month
10006678,Once a month
10006688,Occassional
10006690,2 - 3 times a month
10006694,Never
10006699,Once a month
10006707,
10006718,Never
10006724,2 - 3 times a month
10006730,Once a month
10006732,Once a week
10006738,Once a week
10006744,Once a week
10006745,Once a month
10006747,Never
10006750,Never
10006751,Once a week
10006753,Once a month
10006754,Never
10006755,Once a month
10006759,Rarely
10006764,2 - 3 times a month
10006773,Rarely
10006781,2 - 3 times a month
10006782,Occassional
10006788,Once a month
10006795,Once a month
10006798,Occassional
10006799,2 - 3 times a month
10006810,2 - 3 times a month
10006814,Never
10006815,Occassional
10006821,Multiple times in a week
10006824,2 - 3 times a month
10006826,Occassional
10006830,Multiple times in a week
10006839,Once a week
10006844,Rarely
10006846,Once a week
10006851,Rarely
10006863,Never
10006874,Occassional
10006876,Rarely
10006879,2 - 3 times a month
10006889,Occassional
10006890,Once a week
10006896,2 - 3 times a month
10006897,2 - 3 times a month
10006899,2 - 3 times a month
10006904,Once a week
10006921,Once a week
10006924,Occassional
10006928,Rarely
10006932,Rarely
10006933,Once a week
10006936,Once a week
10006939,Once a month
10006945,Occassional
10006949,Occassional
10006956,2 - 3 times a month
10006959,2 - 3 times a month
10006963,Never
10006964,Never
10006969,Occassional
10006974,Occassional
10006976,Once a month
10006980,Occassional
10006983,Never
10006986,2 - 3 times a month
10007013,Rarely
10007014,Once a month
10007017,Rarely
10007018,Occassional
10007022,Occassional
10007035,Once a month
10007041,Never
10007045,Never
10007047,2 - 3 times a month
10007049,Rarely
10007054,Once a month
10007056,Rarely
10007058,Once a month
10007062,Once a month
10007066,Occassional
10007069,Occassional
10007074,
10007077,2 - 3 times a month
10007088,Never
10007096,2 - 3 times a month
10007098,Occassional
10007104,Occassional
10007117,
10007120,2 - 3 times a month
10007130,Once a week
10007131,Once a month
10007146,Rarely
10007148,Occassional
10007155,Occassional
10007160,Once a week
10007172,
10007176,Rarely
10007177,2 - 3 times a month
10007184,Rarely
10007190,Occassional
10007193,Never
10007200,Once a week
10007209,
10007211,
10007219,Occassional
10007221,Once a week
10007222,Never
10007224,Never
10007226,
10007240,Occassional
10007243,Occassional
10007249,Once a month
10007253,Occassional
10007257,Rarely
10007258,Occassional
10007271,Rarely
10007293,Occassional
10007296,Rarely
10007300,Once a week
10007303,2 - 3 times a month
10007304,Once a month
10007309,Occassional
10007315,Once a month
10007319,2 - 3 times a month
10007321,Occassional
10007323,2 - 3 times a month
10007329,Occassional
10007332,
10007334,
10007346,Once a month
10007347,Rarely
10007358,Once a month
10007360,2 - 3 times a month
10007376,Never
10007377,Once a month
10007383,Rarely
10007385,Rarely
10007389,Occassional
10007391,2 - 3 times a month
10007395,Once a week
10007400,Once a week
10007403,Once a week
10007404,Never
10007408,Once a week
10007410,Occassional
10007412,Once a week
10007416,2 - 3 times a month
10007418,Rarely
10007419,Occassional
10007421,
10007423,Once a week
10007440,Once a month
10007465,Once a month
10007467,
10007471,Once a week
10007476,Rarely
10007483,Occassional
10007489,Occassional
10007492,Once a month
10007497,2 - 3 times a month
10007502,Never
10007505,
10007508,2 - 3 times a month
10007512,Once a month
